Source: IEA. Licence: CC BY 4.0,,,,,,,,,,,,,,,,,,,,,,,,HDPE,PVC,LDPE,PP,PET,PS,Other,Total,,,HDPE,PVC,LDPE,PP,PET,PS,Other,Total
This data is subject to the IEA's terms and conditions: https://www.iea.org/t_c/termsandconditions/,,,,,,,,,,,Scale for Texas,,,,,,,,,,,,2020,0.94,0.78,1.34,1.46,0.53,0.51,2.14,7.69,,2020,936836.01,779060.29,1339443.22,1456099.67,527884.21,512865.60,2142690.49,7694879.49
Units: Mt,,,,,,,,,,,Units: Mt,,,,,,,,,,,,2021,0.96,0.80,1.37,1.48,0.54,0.52,2.21,7.88,,2021,956579.14,795700.49,1367671.00,1483260.27,539185.49,523834.86,2209432.79,7875664.04
,Key thermoplastics,HDPE,PVC,LDPE,PP,PET,PS,Other,Total,,,Key thermoplastics,HDPE,PVC,LDPE,PP,PET,PS,Other,Total,(% market),,2022,0.98,0.81,1.40,1.51,0.55,0.53,2.28,8.06,,2022,976322.27,812340.68,1395898.78,1510420.87,550486.77,534804.12,2276175.10,8056448.59
1980,59.88899287,,,,,,,,59.89,,1980,1.156605511,0,0,0,0,0,0,0,1.16,,,2023,1.00,0.83,1.42,1.54,0.56,0.55,2.34,8.24,,2023,996065.40,828980.87,1424126.57,1537581.47,561788.05,545773.38,2342917.41,8237233.14
1985,77.93936796,,,,,,,,77.94,,1985,1.50520318,0,0,0,0,0,0,0,1.51,,,2024,1.02,0.85,1.45,1.56,0.57,0.56,2.41,8.42,,2024,1015808.53,845621.07,1452354.35,1564742.07,573089.33,556742.63,2409659.71,8418017.69
1990,104.9551612,,,,,,,,104.96,,1990,2.026945387,0,0,0,0,0,0,0,2.03,,,2025,1.04,0.86,1.48,1.59,0.58,0.57,2.48,8.60,,2025,1035551.66,862261.26,1480582.13,1591902.67,584390.61,567711.89,2476402.02,8598802.24
1995,137.8283608,,,,,,,,137.83,,1995,2.66180869,0,0,0,0,0,0,0,2.66,,,2026,1.05,0.88,1.51,1.62,0.59,0.58,2.52,8.75,,2026,1053291.63,876843.48,1505945.88,1615060.81,594220.19,577257.67,2522726.03,8745345.68
2000,186.8393131,,,,,,,,186.84,,2000,3.608332163,0,0,0,0,0,0,0,3.61,,,2027,1.07,0.89,1.53,1.64,0.60,0.59,2.57,8.89,,2027,1071031.59,891425.69,1531309.63,1638218.96,604049.77,586803.44,2569050.03,8891889.12
2005,229.753781,,,,,,,,229.75,,2005,4.437117349,0,0,0,0,0,0,0,4.44,,,2028,1.09,0.91,1.56,1.66,0.61,0.60,2.62,9.04,,2028,1088771.56,906007.91,1556673.38,1661377.11,613879.35,596349.22,2615374.04,9038432.57
2010,268.723465,,,,,,,,268.72,,2010,5.189718939,0,0,0,0,0,0,0,5.19,,,2029,1.11,0.92,1.58,1.68,0.62,0.61,2.66,9.18,,2029,1106511.52,920590.13,1582037.13,1684535.26,623708.93,605894.99,2661698.04,9184976.01
2015,322,,,,,,,,322,,2015,6.218621431,0,0,0,0,0,0,0,6.22,,,2030,1.12,0.94,1.61,1.71,0.63,0.62,2.71,9.33,,2030,1124251.48,935172.34,1607400.88,1707693.41,633538.52,615440.77,2708022.05,9331519.45
