,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,1123.782,1050.94,979.241,929.576,901.849,862.112,764.051,776.108,809.988,861.448,914.259,954.915,977.261,993.255,1006.111,1014.435,1015.842,1013.168,1032.983,1216.518,1260.847,1228.832,1163.651,1082.158
1,1000.33,925.114,885.667,853.816,840.172,818.287,767.826,807.623,868.399,933.233,986.117,1027.438,1035.624,1033.462,1025.57,1008.908,1008.655,1005.716,1041.654,1233.782,1281.797,1245.864,1164.602,1060.84
2,969.924,902.903,865.411,845.226,847.663,863.333,866.345,965.23,1077.211,1148.896,1192.561,1222.005,1197.325,1210.974,1244.365,1252.734,1237.592,1189.188,1180.105,1352.042,1385.938,1331.786,1221.296,1089.669
3,989.884,927.232,896.158,880.992,885.99,907.946,903.033,996.071,1090.103,1149.277,1180.388,1198.538,1157.152,1164.548,1191.842,1199.481,1177.402,1148.994,1139.113,1304.507,1332.105,1272.368,1158.386,1038.681
4,947.698,896.965,867.564,850.125,858.319,870.574,883.335,993.391,1116.336,1199.17,1238.884,1283.33,1260.462,1296.728,1349.118,1365.817,1337.953,1289.532,1248.659,1398.32,1441.842,1387.183,1273.856,1143.63
5,1041.56,969.273,928.403,911.141,917.102,924.68,924.724,1043.495,1174.686,1270.974,1325.939,1364.469,1345.391,1384.306,1437.186,1451.576,1415.205,1344.406,1293.793,1438.196,1468.637,1422.123,1326.182,1213.379
6,1122.327,1044.553,1000.209,970.473,963.332,956.089,922.268,1003.505,1115.02,1219.023,1290.976,1325.277,1314.264,1313.312,1334.07,1332.107,1309.313,1278.55,1262.846,1424.558,1460.868,1411.612,1322.702,1226.617
7,1131.811,1055.701,1005.191,974.559,955.442,934.43,865.416,904.072,972.507,1040.476,1088.615,1131.596,1139.772,1134.03,1155.296,1165.709,1165.694,1169.619,1175.884,1343.521,1398.884,1365.582,1287.512,1179.097
8,1084.639,1014.977,971.019,943.53,944.432,963.068,967.701,1055.764,1172.331,1262.813,1296.119,1324.616,1308.595,1359.336,1397.69,1390.051,1357.249,1295.961,1245.477,1396.172,1443.522,1387.848,1271.198,1148.111
9,1049.422,984.191,949.67,926.771,932.426,946.091,942.487,1058.258,1193.842,1299.385,1355.426,1389.075,1353.085,1386.048,1431.733,1443.172,1409.114,1339.563,1280.232,1428.662,1490.805,1442.518,1332.718,1199.156
10,1091.684,1023.005,983.982,963.645,968.719,985.752,982.943,1095.055,1230.001,1318.828,1373.325,1412.061,1368.823,1414.654,1473.628,1489.745,1452.71,1371.316,1310.823,1457.438,1489.136,1442.677,1352.104,1226.436
11,1128.683,1051.228,1008.848,986.58,991.341,1007.066,1006.189,1121.218,1197.509,1268.574,1288.963,1314.336,1266.242,1302.119,1358.735,1380.449,1354.583,1297.172,1241.369,1399.148,1465.124,1408.419,1299.32,1166.712
12,1073.947,1009.185,973.331,952.641,963.216,979.583,979.533,1096.39,1218.863,1307.935,1362.473,1387.703,1349.129,1368.547,1406.927,1386.797,1344.345,1266.018,1222.82,1356.466,1400.841,1344.17,1236.783,1112.443
13,1023.742,968.868,933.365,916.059,908.802,923.864,888.486,945.869,1029.476,1107.098,1140.828,1153.622,1123.73,1108.181,1108.664,1113.321,1100.971,1079.356,1083.136,1254.959,1315.215,1260.577,1167.606,1057.708
14,975.848,916.317,883.599,852.886,838.347,825.962,762.612,810.047,881.097,941.373,981.906,1013.173,1024.854,1033.386,1048.603,1072.572,1083.148,1079.033,1079.514,1252.721,1334.714,1302.28,1211.995,1096.843
15,998.089,931.362,890.394,868.308,873.529,896.168,917.266,1051.634,1174.371,1264.414,1326.796,1367.83,1351.947,1394.22,1447.264,1451.622,1420.754,1361.451,1297.185,1443.192,1510.667,1461.349,1352.48,1221.899
16,1112.836,1042.457,999.749,975.688,975.79,991.049,983.129,1108.065,1247.559,1348.118,1399.561,1438.053,1401.586,1443.849,1509.188,1486.716,1423.276,1347.188,1295.446,1452.635,1511.76,1463.26,1355.297,1226.537
17,1122.204,1051.638,1014.481,991.561,991.579,1025.122,1032.63,1155.748,1285.755,1373.921,1420.233,1461.651,1431.231,1473.897,1533.117,1539.04,1486.737,1407.145,1343.273,1501.777,1552.1,1509.021,1389.914,1253.856
18,1159.497,1098.624,1044.281,1015.707,1001.988,1021.184,1036.259,1141.859,1268.184,1352.838,1414.193,1457.563,1423.253,1462.151,1517.198,1521.414,1480.174,1397.782,1324.358,1474.633,1524.272,1477.157,1372.164,1252.88
19,1155.636,1086.057,1041.182,1014.99,1018.23,1028.801,1026.416,1155.271,1292.701,1390.293,1443.093,1471.949,1439.418,1475.533,1541.67,1535.791,1489.422,1409.944,1336.284,1481.147,1536.8,1484.653,1379.3,1270.823
20,1175.479,1103.931,1055.036,1025.167,1012.214,1011.862,974.473,1048.549,1160.585,1241.257,1288.626,1316.199,1295.789,1281.428,1293.439,1281.102,1279.068,1250.559,1230.632,1394.823,1461.526,1410.726,1318.465,1217.718
21,1128.716,1055.115,1005.675,975.33,957.598,942.31,873.409,909.25,973.687,1027.269,1067.535,1101.76,1106.175,1115.014,1134.947,1152.24,1154.766,1149.891,1157.474,1324.286,1387.034,1355.541,1282.301,1182.179
22,1093.259,1022.552,979.714,947.391,933.469,936.477,889.372,936.323,1015.658,1095.21,1147.466,1190.63,1188.572,1194.199,1218.283,1237.533,1229.914,1212.32,1220.32,1388.839,1428.311,1388.253,1306,1179.764
23,1075.483,1013.682,976.473,947.092,938.871,964.566,983.823,1079.268,1203.2,1287.188,1330.194,1355.344,1313.014,1335.188,1392.668,1427.453,1405.312,1334.721,1293.276,1455.319,1488.311,1439.991,1331.467,1203.359
24,1105.197,1037.593,1003.555,993.627,989.921,1008.951,1015.205,1112.264,1249.354,1349.847,1404.026,1443.635,1408.206,1446.298,1493.153,1516.688,1484.672,1394.867,1326.283,1483.473,1515.01,1481.123,1374.483,1249.814
25,1160.329,1085.709,1045.9,1028.176,1022.696,1042.024,1044.675,1153.515,1288.008,1382.936,1422.642,1445.777,1400.87,1428.235,1493.142,1503.736,1469.524,1394.124,1339.085,1505.887,1546.745,1496.834,1384.354,1270.314
26,1171.995,1099.729,1051.616,1024.528,1017.061,1039.688,1042.483,1142.389,1275.331,1368.738,1403.386,1443.497,1407.184,1432.277,1482.793,1495.587,1463.006,1380.636,1328.911,1483.638,1519.713,1470.566,1369.429,1267.076
27,1175.587,1107.41,1056.736,1029.191,1019.748,1027.055,994.234,1055.072,1162.928,1259.922,1310.963,1342.827,1323.475,1321.372,1335.025,1325.069,1310.226,1279.57,1262.114,1433.798,1474.057,1400.679,1282.228,1168.828
28,1069.95,998.289,960.965,930.874,914.803,904.974,847.308,856.729,912.772,969.123,1003.857,1026.418,1031.958,1042.931,1059.064,1079.805,1085.015,1082.847,1081.848,1267.735,1330.678,1295.236,1206.317,1099.705
29,1016.41,946.589,912.775,891.914,886.51,908.467,939.427,1047.515,1167.131,1251.224,1280.8,1306.838,1281.85,1311.816,1362.83,1379.934,1361.045,1287.933,1240.539,1404.865,1448.904,1394.362,1280.946,1169.929
30,1074.32,995.929,955.796,949.904,945.211,961.852,972.468,1059.075,1185.412,1265.705,1300.939,1330.132,1299.241,1329.862,1384.46,1396.038,1351.381,1281.538,1252.735,1414.056,1449.376,1391.333,1268.069,1140.815
31,1048.285,965.528,933.021,932.906,929.363,960.625,1024.244,1106.464,1189.726,1281.56,1337.667,1384.468,1338.551,1348.917,1414.938,1414.445,1374.481,1297.985,1253.541,1415.449,1463.488,1406.15,1291.857,1155.328
32,1071.708,1013.355,975.685,950.281,952.556,980.677,1035.916,1111.715,1194.539,1268.627,1296.349,1325.325,1288.324,1307.214,1352.763,1357.78,1338.026,1267.269,1233.502,1419.497,1460.255,1407.53,1291.309,1171.466
33,1071.253,1006.826,971.407,950.345,942.998,966.706,1026.342,1071.451,1138.454,1210.267,1231.416,1260.384,1219.285,1222.61,1253.489,1255.751,1251.221,1202.071,1183.509,1356.138,1379.151,1321.272,1218.077,1106.847
34,1020.112,962.457,926.473,907.558,904.601,922.224,902.541,955.512,1058.683,1143.931,1188.878,1219.236,1201.915,1189.475,1191.756,1174.568,1150.837,1135.435,1181.787,1346.255,1362.095,1306.326,1211.083,1113.895
35,1019.077,952.405,909.858,883.963,872.935,869.454,810.892,822.929,880.057,935.411,985.054,1014.87,1027.113,1034.942,1052.548,1075.457,1102.055,1110.075,1144.093,1339.532,1394.303,1349.434,1250.054,1120.72
36,1019.617,953.084,910.468,884.18,874.812,904.212,989.15,1073.421,1144.839,1237.228,1288.415,1336.48,1317.6,1340.273,1391.05,1403.826,1374.12,1316.955,1267.73,1442.444,1479.688,1438.347,1323.853,1180.627
37,1065.159,994.276,958.131,939.084,934.17,962.422,1013.593,1107.403,1210.803,1290.992,1338.997,1374.545,1343.611,1383.965,1425.035,1426.536,1401.708,1341.669,1310.913,1490.779,1519.249,1464.03,1347.437,1221.94
38,1106.664,1033.554,993.039,970.276,965.428,992.504,1044.944,1135.992,1234.077,1316.404,1364.455,1409.319,1364.21,1396.134,1475.191,1500.065,1473.541,1407.141,1366.481,1524.521,1542.524,1487.769,1375.608,1254.849
39,1106.785,1050.347,1017.17,989.017,982.904,1008.469,1059.793,1136.164,1237.434,1320.223,1374.332,1407.521,1377.997,1421.243,1487.482,1494.267,1448.499,1367.281,1321.135,1506.787,1536.399,1478.389,1360.817,1243.51
40,1137.707,1062.628,1012.319,992.142,991.819,1021.84,1062.209,1132.119,1238.581,1320.853,1355.99,1354.537,1284.003,1296.539,1339.356,1361.031,1344.995,1294.225,1260.971,1429.266,1447.367,1394.907,1285.036,1179.472
41,1082.518,1028.536,975.232,968.724,957.126,978.324,951.207,1011.935,1135.929,1238.003,1284.003,1312.524,1289.881,1287.863,1310.664,1314.679,1291.158,1254.63,1243.865,1432.286,1466.552,1417.661,1319.301,1211.437
42,1112.052,1033.279,982.384,946.597,926.243,915.569,860.198,877.279,951.105,1019.922,1069.763,1111.977,1124.041,1128.827,1147.435,1176.667,1188.844,1186.146,1196.101,1395.454,1425.689,1402.4,1309.838,1190.574
43,1081.523,1009.317,967.876,938.184,937.428,972.933,1059.577,1140.996,1236.136,1326.229,1372.771,1421.935,1379.773,1431.099,1479.385,1483.392,1444.798,1371.049,1331.938,1498.382,1529.222,1485.014,1380.006,1253.011
44,1143.802,1071.151,1024.329,999.502,996.04,1024.464,1076.211,1153.194,1267.544,1352.608,1389.34,1416.9,1387.48,1426.786,1477.367,1501.379,1468.759,1383.955,1326.43,1499.958,1523.345,1467.606,1361.837,1246.1
45,1141.347,1067.644,1022.971,1002.507,998.967,1028.9,1103.37,1178.995,1276.105,1363.517,1391.841,1412.297,1354.304,1363.196,1384.307,1381.636,1348.785,1277.644,1266.557,1454.863,1481.148,1429.036,1317.696,1193.272
46,1095.807,1028.587,983.13,959.606,957.146,1017.721,1079.615,1140.576,1239.72,1319.175,1358.181,1386.103,1352.808,1379.48,1412.836,1436.056,1396.524,1329.1,1289.039,1467.304,1503.721,1448.749,1329.6,1202.524
