 ,dni,dhi,wind_speed,ghi,air_temperature,dew_point,relative_humidity,surface_pressure
2022,0,0,1.4,0,24.5,24.5,100,955
2022,0,0,1.6,0,24.3,24.3,100,955
2022,0,0,1.8,0,24.1,24.1,100,954
2022,0,0,1.9,0,24,24,100,954
2022,0,0,2,0,23.8,23.8,100,955
2022,0,0,2,0,23.7,23.7,99.87,955
2022,131,23,2.6,31,24.4,23.9,97.23,956
2022,537,79,3.5,233,25.6,24.4,92.94,957
2022,725,109,4,474,26.9,24.7,87.95,957
2022,826,127,4.3,700,28.2,25,82.67,957
2022,886,138,4.3,887,29.2,25.2,78.96,956
2022,915,146,4.5,1014,29.9,25.4,76.69,956
2022,934,145,4.6,1073,30.3,25.5,75.46,955
2022,938,138,4.7,1058,30.5,25.5,74.63,954
2022,941,121,4.7,976,30.4,25.3,74.3,953
2022,907,112,4.7,821,30,25.1,75.22,953
2022,845,98,4.4,615,29.4,25,77.29,952
2022,732,80,3.9,377,28.4,25,82.08,952
2022,486,50,3.3,139,27.1,24.9,87.59,953
2022,0,0,3.1,0,26.1,24.7,92.03,953
2022,0,0,3.2,0,25.7,24.6,93.83,954
2022,0,0,3.4,0,25.4,24.5,94.95,954
2022,0,0,3.6,0,25.2,24.5,95.65,954
2022,0,0,3.5,0,24.9,24.4,97.01,954
2022,0,0,3.5,0,24.8,24.3,97.33,953
2022,0,0,3.6,0,24.8,24.3,97.15,952
2022,0,0,3.7,0,24.8,24.3,97,952
2022,0,0,3.7,0,24.7,24.3,97.35,952
2022,0,0,3.8,0,24.7,24.2,97.08,952
2022,0,0,3.8,0,24.7,24.2,96.85,953
2022,137,23,4.1,31,25.1,24.3,95.25,954
2022,543,78,4.8,232,26,24.6,91.82,955
2022,733,106,5.5,473,27,24.7,87.07,956
2022,836,121,5.8,699,27.9,24.7,82.73,956
2022,896,129,5.9,886,28.6,24.8,79.85,956
2022,927,135,5.8,1013,29.1,24.9,78.19,956
2022,0,190,5.7,190,29.4,25,77.1,955
2022,5,431,5.4,436,29.5,25,76.76,955
2022,142,487,5.1,616,29.3,25,77.53,955
2022,0,105,4.7,105,28.9,24.9,79.1,954
2022,823,106,4.2,610,28.2,25,82.64,954
2022,714,83,3.7,375,27.4,25,86.98,954
2022,468,51,3.3,138,26.5,25,91.34,954
2022,0,0,3,0,25.8,24.9,94.73,955
2022,0,0,3.1,0,25.6,24.8,95.38,955
2022,0,0,3.4,0,25.4,24.7,95.81,956
2022,0,0,3.5,0,25.2,24.6,96.41,956
2022,0,0,3.5,0,25,24.5,97.33,956
2022,0,0,3.7,0,25,24.5,97.09,956
2022,0,0,3.8,0,25,24.4,96.41,955
2022,0,0,3.7,0,24.8,24.2,96.71,955
2022,0,0,3.7,0,24.6,24.1,97,955
2022,0,0,3.6,0,24.5,24,96.88,956
2022,0,0,3.5,0,24.3,23.8,97.18,956
2022,2,23,3.8,23,24.8,23.9,94.91,957
2022,135,133,4.4,171,25.9,24.2,90.54,958
2022,354,205,4.7,382,26.8,24.5,87.01,958
2022,56,307,4.8,346,27.6,24.6,83.88,958
2022,50,375,4.7,417,28.1,24.8,82.08,958
2022,186,438,4.5,614,28.2,24.8,81.95,957
2022,932,138,4.3,1064,28.3,24.9,81.85,957
2022,155,502,4.1,655,28.3,25,82.27,956
2022,909,134,4,961,28.1,25.1,83.84,955
2022,875,124,3.9,810,27.8,25.2,85.69,955
2022,809,110,3.6,606,27.4,25.2,87.81,954
2022,687,90,3.1,371,26.8,25.3,91.32,954
2022,430,56,2.6,136,26,25.1,94.96,954
2022,0,0,2.4,0,25.3,24.9,97.85,955
2022,0,0,2.5,0,25.1,24.8,98.2,955
2022,0,0,2.8,0,25,24.6,97.85,956
2022,0,0,2.7,0,24.8,24.5,97.98,956
2022,0,0,2.9,0,24.6,24.2,97.9,956
2022,0,0,3,0,24.4,24.1,98.03,956
2022,0,0,3.1,0,24.2,23.9,98.17,955
2022,0,0,3.2,0,24,23.7,98.42,955
2022,0,0,3.2,0,23.9,23.6,98.11,954
2022,0,0,3.2,0,23.8,23.5,98.19,955
2022,0,0,3.2,0,23.8,23.4,97.68,955
2022,0,16,3.5,16,24.2,23.6,96.31,956
2022,34,128,4.1,137,25.2,23.9,92.73,956
2022,35,251,4.7,269,26.2,24.2,88.82,956
2022,869,103,4.9,702,27.1,24.6,86.06,956
2022,918,113,5,887,27.8,24.8,83.96,956
2022,930,130,4.9,1011,28.2,25,82.87,955
2022,941,134,4.8,1069,28.3,25.1,82.75,955
2022,935,135,4.7,1053,28.2,25.1,83.26,954
2022,926,125,4.4,969,28.1,25.1,83.91,954
2022,887,119,4,815,27.8,25.1,85.49,953
2022,819,106,3.5,610,27.3,25.2,88.32,953
2022,696,87,2.9,373,26.5,25.2,92.51,953
2022,441,55,2.3,137,25.6,24.9,96.11,953
2022,0,0,2.1,0,24.9,24.7,98.52,954
2022,0,0,2.1,0,24.6,24.5,99.48,955
2022,0,0,2.2,0,24.5,24.4,99.25,955
2022,0,0,2.2,0,24.3,24.3,99.82,956
2022,0,0,2.2,0,24.2,24.1,99.66,956
2022,0,0,2.2,0,24,24,99.98,955
2022,0,0,2.3,0,23.9,23.9,99.79,955
2022,0,0,2.4,0,23.8,23.8,99.71,955
2022,0,0,2.5,0,23.7,23.6,99.61,954
2022,0,0,2.5,0,23.6,23.5,99.63,954
2022,0,0,2.4,0,23.5,23.4,99.68,955
2022,0,10,2.6,10,23.8,23.7,99.37,956
2022,1,51,3,52,24.6,24.2,97.83,957
2022,78,243,3.4,282,25.5,24.6,95.05,958
2022,9,204,3.2,211,26.7,24.8,89.19,958
2022,323,356,2.7,627,27.6,24.7,84.42,959
2022,88,447,2,530,28.3,24.8,81.28,958
2022,377,390,1.4,765,28.7,24.8,79.45,958
2022,951,118,1.3,1053,29,24.7,77.72,957
2022,806,171,1.4,906,28.9,24.6,77.48,957
2022,807,158,1.4,793,28.6,24.4,78.3,956
2022,697,155,1.1,585,28.1,24.6,81.38,956
2022,599,113,0.9,360,27.4,24.4,83.57,956
2022,327,68,0.6,129,26.1,24.6,91.5,957
2022,0,0,0.6,0,25.2,24.1,93.8,958
2022,0,0,0.6,0,24.8,24,95.26,959
2022,0,0,0.6,0,24.6,23.8,95.18,959
2022,0,0,0.8,0,24.4,23.5,94.57,960
2022,0,0,1.1,0,24.2,23.2,93.9,960
2022,0,0,1.3,0,23.7,22.9,95.06,959
2022,0,0,1.3,0,23.2,22.5,96.13,959
2022,0,0,1.1,0,22.7,22.2,96.97,959
2022,0,0,1,0,22.3,21.8,97.13,959
2022,0,0,1,0,21.8,21.4,97.7,959
2022,0,0,1,0,21.5,21.1,97.43,960
2022,118,19,1.7,25,22.5,21.4,93.74,960
2022,547,74,2.1,225,24.1,22,87.93,961
2022,737,104,2.5,468,26,22.4,80.55,961
2022,833,123,2.9,695,27.4,22.3,73.87,961
2022,886,136,3.1,881,28.5,22.2,68.95,961
2022,918,142,3.1,1010,29.2,22.3,66.37,960
2022,695,319,2.9,1009,29.7,22.4,64.9,960
2022,917,152,2.6,1053,29.9,22.5,64.4,959
2022,436,442,2.3,840,29.9,22.4,64.25,958
2022,872,128,2,815,29.6,22.3,64.94,958
2022,800,116,1.7,610,29.1,22.3,66.66,957
2022,676,94,1.2,374,28.5,22.4,69.56,957
2022,0,71,0.7,71,26.8,23.1,80.31,958
2022,0,0,0.6,0,26.1,22,78.28,958
2022,0,0,0.5,0,26,21.6,76.55,959
2022,0,0,0.4,0,26,21.1,74.29,959
2022,0,0,0.3,0,25.6,21,75.87,960
2022,0,0,0.5,0,24.8,21.2,80.52,959
2022,0,0,0.6,0,24,21.4,85.37,959
2022,0,0,0.7,0,23.4,21.4,88.56,958
2022,0,0,0.7,0,23,21.3,90.26,958
2022,0,0,0.7,0,22.7,21.2,91.53,958
2022,0,0,0.8,0,22.4,21.2,92.95,958
2022,0,0,0.8,0,22.3,21.2,93.42,958
2022,78,19,1.1,22,23.8,22.1,90.3,959
2022,0,53,1.3,53,25.9,22.2,80.16,959
2022,670,124,1.2,454,27.6,22.5,73.72,960
2022,776,147,1.2,679,28.7,22.9,70.97,960
2022,830,166,1.4,863,29.5,23.3,69.47,960
2022,398,483,1.6,859,30,23.5,68.37,959
2022,661,341,1.8,998,30.3,23.6,67.46,958
2022,362,523,1.9,879,30.4,23.6,67.05,958
2022,5,404,1.9,409,30.4,23.6,66.98,957
2022,289,433,1.9,661,29.9,23.6,68.81,957
2022,741,137,1.9,596,29.4,23.6,71.14,956
2022,99,237,1.5,278,28.6,24,75.99,956
2022,20,100,0.8,104,27,24.4,85.78,957
2022,0,0,0.7,0,25.8,24,89.65,957
2022,0,0,0.8,0,25.4,23.7,90.47,958
2022,0,0,0.8,0,25,23.6,91.81,959
2022,0,0,0.8,0,24.6,23.4,93.09,960
2022,0,0,0.8,0,24.3,23.2,93.85,959
2022,0,0,0.8,0,24,23,94.38,959
